DMP_PostNL2014::Enabled,Geactiveerd
DMP_PostNL2014::Title,Titel
DMP_PostNL2014::Method Name,Methode naam
DMP_PostNL2014::Rate Type,Tarief type
DMP_PostNL2014::Type,Type
DMP_PostNL2014::Price,Prijs
DMP_PostNL2014::PostNL location active,PostNL locatie actief
DMP_PostNL2014::PostNL location fee,PostNL locatie afhandelingskosten
DMP_PostNL2014::Condition,Voorwaarde
DMP_PostNL2014::Calculate Handling Fee,Verzendkosten berekeningswijze
DMP_PostNL2014::Handling Fee,Afhandelingskosten
DMP_PostNL2014::Ship to Applicable Countries,Verzend naar beschikbare landen
DMP_PostNL2014::Ship to Specific Countries,Verzend naar specifieke landen
DMP_PostNL2014::Sort Order,Sorteer bestelling
DMP_PostNL2014::Default Shipment Settings,Standaard verzendinstellingen
DMP_PostNL2014::Home address only,Alleen huisadres
DMP_PostNL2014::Signature on receipt,Handtekening voor ontvangst
DMP_PostNL2014::Return if no answer,Retour bij niet aanwezig
DMP_PostNL2014::Large package,Groot pakket
DMP_PostNL2014::Insured up to &euro; 50,Verzekerd tot &euro; 50
DMP_PostNL2014::For NL shipping only,Alleen voor Nederlandse verzendingen
DMP_PostNL2014::Insured up to &euro; 250,Verzekerd tot &euro; 250
"DMP_PostNL2014::For NL shipping only, shipments outside the EU insured default is &euro; 200","Alleen voor Nederlandse verzendingen, zendingen naar landen buiten de EU zijn standaard verzekerd tot &euro; 200"
DMP_PostNL2014::Insured up to &euro; 500,Verzekerd tot &euro; 500
"DMP_PostNL2014::For NL shipping only, shipments inside the EU insured default is &euro; 500","Alleen voor Nederlandse verzendingen, zendingen naar landen binnen de EU zijn standaard verzekerd tot &euro; 500"
DMP_PostNL2014::Automatically next status,Automatisch volgende status
DMP_PostNL2014::Turn the order automatically to the next status after creating a label,Zet de status van een order automatisch naar de volgende status bij het aanmaken van een label
DMP_PostNL2014::Customs Shipment Type,Douane verzend type
DMP_PostNL2014::Customs Content HS Code,Douane goederen HS code
"DMP_PostNL2014::Default content type for Cross Domestic products, see <a href=""https://tarief.douane.nl/arctictariff-public-web/#!/home"" target=""_blank"">https://tarief.douane.nl/</a>"". HS codes can also be connected to categories. The data you enter here will be used as default.,""Standaard goederen type voor Cross Domestic producten, zie <a href=""https://tarief.douane.nl/arctictariff-public-web/#!/home"" target=""_blank"">https://tarief.douane.nl/a> voor de juiste HS code. Maximaal 4 karakters. HS codes kan ook gekoppeld worden per categorie. De gegevens die je hier invoert zal als standaard waarde gebruikt worden."
DMP_PostNL2014::Edit options,Opties bewerken
"DMP_PostNL2014::Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount. When shipping outside of the EU you can set default values for customs type and customs goods HS code.","Vul hier uw standaard voorkeuren in voor uw verzendopties. Deze instellingen worden als default op al uw zendingen toegepast, indien van toepassing. Deze opties zijn later, per zending, uiteraard nog wel aan te passen tijdens het verwerken. <br/><br/>De opties ""Alleen huisadres"", ""Handtekening bij ontvangst"", ""Retour bij niet aanwezig"" en de verschillende verzekeringen worden actief op basis van het totale order bedrag. Bijvoorbeeld, als u bij ""alleen huisadres"" 50 invult, dan wordt voor alle zendingen voor orders vanaf &euro; 50 standaard de instelling ""alleen huisadres"" aangevinkt. Of als u bij ""Verzekerd tot &euro; 250,-"" het getal 150 invult, dan worden alle orders vanaf &euro; 150 standaard verzekerd voor &euro; 250,- inkoopwaarde.<br/><br/>Indien u zendingen naar landen buiten de EU verstuurt, kunt u optioneel voor deze zendingen een standaard waarde invullen bij het Douane verzendtype en de Douane goederen HS code. Deze waardes kunt u nog aanpassen wanneer u uw zending verwerkt."
DMP_PostNL2014::Retourlink e-mail Template,Retourlink e-mail Template
DMP_PostNL2014::PLACEHOLDER,PLACEHOLDER
DMP_PostNL2014::Track&amp;Trace email template,Track&amp;Trace e-mail Template
"DMP_PostNL2014::You can create a new transactional e-mail where the variables {{var tracktrace_url}} and {{var retourlabel_url}} are available. TIP: You can base them on the Order Update template, because {{var order}} is also available.","U kunt een nieuwe transactionele email aanmaken en daarin {{var tracktrace_url}} en {{var retourlabel_url}} gebruiken."
DMP_PostNL2014::Print Orientation,Print ori&euml;ntatie
DMP_PostNL2014::Select a standard orientation for printing labels.,Selecteer een standaard print ori&euml;ntatie voor het printen van labels.
DMP_PostNL2014::Enable test modus,Activeer test modus
DMP_PostNL2014::Enable to test the extension,Activeer om test verzendingen te kunnen maken
DMP_PostNL2014::Selecting 'No' will overrule all individual settings.,"Wanneer ""nee"" is geselecteerd worden alle individuele instellingen overruled."
DMP_PostNL2014::General settings,Algemene instellingen
DMP_PostNL2014::Basic settings,Basis instellingen
DMP_PostNL2014::Checkout settings,Checkout instellingen
DMP_PostNL2014::Cut-off time,Het laatste bestelmoment
"DMP_PostNL2014::If a request is made for the delivery options between Friday after, and Monday before, cut-off time then Tuesday will be shown as the next possible delivery date.","Als een bestelling tussen vrijdag na, en maandag voor, het opgegeven bestelmoment wordt gedaan dan zal dinsdag worden getoond als eerstvolgende afleverdag."
DMP_PostNL2014::Numbers of days,Aantal dagen vooruit
DMP_PostNL2014::day,dag
DMP_PostNL2014::days,dagen
DMP_PostNL2014::Hide days,Dagen verbergen
DMP_PostNL2014::Drop-off days,Verzenddagen
"DMP_PostNL2014::Monday","Maandag"
DMP_PostNL2014::Tuesday,Dinsdag
DMP_PostNL2014::Wednesday,Woensdag
DMP_PostNL2014::Thursday,Donderdag
DMP_PostNL2014::Friday,Vrijdag
DMP_PostNL2014::Saturday,Zaterdag
DMP_PostNL2014::Monday delivery,Maandagbezorging
DMP_PostNL2014::Note: Monday delivery is only possible when the package is delivered before 15.00 on Saturday at the designated PostNL locations. Click <a href="https://blog.postnl.nl/maandagbezorging" target="_blank">here</a> for more information concerning Monday delivery and the locations.,Let op: Maandaglevering is alleen mogelijk wanneer zaterdag het pakket voor 15.00 wordt geleverd bij één van de hiervoor bestemde PostNL locaties. Klik <a href="https://blog.postnl.nl/maandagbezorging" target="_blank">hier</a> voor de locaties en meer informatie omtrent de maandaglevering.
DMP_PostNL2014::Monday delivery cut-off time,Laatste bestelmoment voor maandagbezorging
"DMP_PostNL2014::If a request is made before this time on Saturday, Monday will be shown as the next possible delivery date. ","Als een bestelling voor dit tijdstip op zaterdag wordt gedaan zal maandag als eerstvolgende afleverdag worden getoond."
DMP_PostNL2014::Dropoff-delay,Vertraging
"DMP_PostNL2014::This options allows you to set the number of days it takes you to pick, pack and hand in your parcels at PostNL when ordered before the cutoff time.","Stel hier het aantal dagen in die je nodig hebt om het product (te ontvangen,) te verpakken en aan te bieden bij PostNL, vanaf het moment dat de bestelling is geplaatst."
DMP_PostNL2014::No delay,Geen vertraging
DMP_PostNL2014::Add style to the checkout,Voeg een css file toe aan de checkout
DMP_PostNL2014::Font size,Lettertypegrootte
DMP_PostNL2014::Leave blank to automatically determine the font size,Laat leeg om de lettertypegrootte automatisch te bepalen
DMP_PostNL2014::Delivery,Bezorging
DMP_PostNL2014::Delivery title,Bezorging titel
DMP_PostNL2014::Retrieve address title,Adres ophalen titel
DMP_PostNL2014::Busy loading title,Bezig met laden titel
DMP_PostNL2014::Standard delivery title, Standaardlevering titel
DMP_PostNL2014::To determine the base price you have to navigate in the menu to <a id=""shipping_method_link"">Shipping Methods</a>.,Om de basisprijs te bepalen moet je navigeren naar <a id=""shipping_method_link"">Verzendmethodes</a>
DMP_PostNL2014::Deliver the package only at address of the intended recipient,Lever het pakket alleen aan het adres van de beoogde ontvanger.
DMP_PostNL2014::Home address only title,Alleen huisadres titel
DMP_PostNL2014::Home address only fee,Alleen huisadres prijs
DMP_PostNL2014::Signature on receipt title,Handtekening voor ontvangst titel
DMP_PostNL2014::Signature on receipt fee,Handtekening voor ontvangst prijs
DMP_PostNL2014::Home address only and signature on receipt together fee,De prijs van handtekening voor ontvangst en alleen huisadres samen
DMP_PostNL2014::If both have been selected this price will be added to the regular shipping price. Leave empty for not using it.,Als beide geselecteerd zijn zal deze prijs bij de normale verzendkosten worden opgeteld. Laat leeg om dit niet te gebruiken.
DMP_PostNL2014::Morning delivery,Ochtendlevering
DMP_PostNL2014::Morning delivery active,Ochtendlevering actief
DMP_PostNL2014::Morning delivery title, Ochtendlevering titel
DMP_PostNL2014::Morning delivery fee,Ochtendlevering prijs
DMP_PostNL2014::Evening delivery,Avondlevering
DMP_PostNL2014::Evening delivery active,Avondlevering actief
DMP_PostNL2014::Evening delivery title, Avondlevering titel
DMP_PostNL2014::Evening delivery fee,Avondlevering prijs
DMP_PostNL2014::Pickup at PostNL location,Ophalen bij PostNL locatie
DMP_PostNL2014::Pickup active,Ophalen actief
DMP_PostNL2014::Pickup title,Ophalen titel
DMP_PostNL2014::Pickup fee,Ophalen prijs
DMP_PostNL2014::Pickup Express at PostNL location,Extra vroeg ophalen bij PostNL locatie
DMP_PostNL2014::Pickup Express active,Extra vroeg ophalen actief
DMP_PostNL2014::Pickup Express fee,Extra vroeg ophalen prijs
DMP_PostNL2014::Pickup at Belgium PostNL location,Ophalen bij een Belgische PostNL locatie
DMP_PostNL2014::Pickup Belgium active,Ophalen België actief
DMP_PostNL2014::Pickup Belgium title,Ophalen België titel
DMP_PostNL2014::Pickup Belgium fee,Ophalen België prijs
DMP_PostNL2014::API Key,API Key,
DMP_PostNL2014::The API Key.,Stel hier de API key in.
DMP_PostNL2014::Your username.,Vul hier de gebruikersnaam in voor het platform
DMP_PostNL2014::To get your personal API credentials you should contact us.,Neem contact met ons op om de API gegevens te ontvangen.
DMP_PostNL2014::API settings,API Instellingen
DMP_PostNL2014::Wrong API key. Go to PostNL settings to set the API key.,Verkeerde API key. Ga naar de instellingen van de PostNL plugin om de juiste API key in te vullen.
DMP_PostNL2014::Version &amp; Support,Versie &amp; Support
DMP_PostNL2014::The log files cannot be downloaded.,De logbestanden kunnen niet gedownload worden.
DMP_PostNL2014::An error occurred while processing this action.,Er is een fout opgetreden tijdens het verwerken van deze actie.
DMP_PostNL2014::The shipments were successfully created.,De verzendingen zijn succesvol aangemaakt
DMP_PostNL2014::None of the shipments could be created. Please check the error messages for more details.,Geen van de verzendingen konden aangemaakt worden. Controleer de foutmeldingen in de logbestanden voor details.
DMP_PostNL2014::Please select one or more shipments.,Selecteer &eacute;&eacute;n of meerdere verzendingen.
DMP_PostNL2014::Please select one or more orders.,Selecteer &eacute;&eacute;n of meerdere orders.
DMP_PostNL2014::PostNL replied with the following warnings:,PostNL heeft geantwoord met de volgende waarschuwingen:
DMP_PostNL2014::The following shipments or orders could not be processed:,De volgende verzendingen konden niet verwerkt worden:
DMP_PostNL2014::Order #%s cannot be shipped at this time.,Order #%s kan niet verzonden worden op dit moment
DMP_PostNL2014::Invalid full street supplied: %s.,Invalide volledige straatnaam opgegeven: %s.
DMP_PostNL2014::Address is too long. Make the delivery address less than 40 characters. Click on send (in the order detail page) to create a concept.,Adres is te lang. Maak het bezorgadres korter dan 40 tekens.
DMP_PostNL2014::Something went wrong with splitting up address %s.,Er is iets fout gegaan met het opsplitsen van adres %s.
DMP_PostNL2014::Something went wrong with splitting up housenumber %s.,Er is iets fout gegaan met het opsplitsen van huisnummer %s.
DMP_PostNL2014::Invalid housnumber supplied: %s.,Invalide huisnummer opgegeven: %s
DMP_PostNL2014::Invalid session requested.,Invalide sessie opgevraagd
DMP_PostNL2014::Invalid message type requested: %s.,Invalide bericht-type opgevraagd: %s
DMP_PostNL2014::No message supplied.,Geen bericht meegegeven
DMP_PostNL2014::No message type supplied.,Geen bericht-type meegegeven
DMP_PostNL2014::Click here for more information from the TiG knowledgebase.,Klik hier voor meer informatie van de TIG kennisbank.
DMP_PostNL2014::An error occurred while processing your request: ,Er is een fout opgetreden tijdens het verwerken van dit verzoek:
DMP_PostNL2014::The createConsignment action is currently unavailable.,De createConsigment actie is tijdelijk niet beschikbaar
DMP_PostNL2014::Invalid createConsignment response.,Invalide createConsignment antwoord
DMP_PostNL2014::Streetname is to long: %s.,Straatnaam is te lang: %s (gebruikt maximaal 40 letters)
DMP_PostNL2014::Shipping status,Verzend status
DMP_PostNL2014::PostNL - Create Shipments,PostNL - Cre&euml;er verzendingen
DMP_PostNL2014::PostNL - Print shipping labels,PostNL - Print verzend labels
DMP_PostNL2014::Download log files,Download log bestanden
DMP_PostNL2014::Unknown rate type specified: %s.,Onbekend tarief type opgegeven: %s.
DMP_PostNL2014::Flat,Plat
DMP_PostNL2014::Table,Tabel
DMP_PostNL2014::Invalid PakjeGemak address.,Ongeldig PostNL locatie adres.
DMP_PostNL2014::Invalid phone number.,Invalide telefoonnummer.
DMP_PostNL2014::Invalid housenumber extension.,Invalide huisnummer extensie.
DMP_PostNL2014::A4,A4
DMP_PostNL2014::A6,A6
DMP_PostNL2014::Commercial Goods,Commerciele goederen
DMP_PostNL2014::Commercial Sample,Commercieel Proef
DMP_PostNL2014::Documents,Documenten
DMP_PostNL2014::Gift,Gift
DMP_PostNL2014::Returned Goods,Retour goederen
DMP_PostNL2014::Yes,Ja
DMP_PostNL2014::No,Nee
DMP_PostNL2014::Postnl Consignment Options,PostNL Verzend Opties
DMP_PostNL2014::Insured amount,Verzekerd bedrag
DMP_PostNL2014::Insured,Verzekerd
DMP_PostNL2014::PostNL version %s,PostNL versie %s
DMP_PostNL2014::Magento &amp; 3rd party version compatibility,Magento &amp; derde partijen ondersteuning
DMP_PostNL2014::Magento Community Edition version,Magento Community Edition versie
DMP_PostNL2014::Magento Enterprise Edition version,Magento Enterprise Edition versie
DMP_PostNL2014::Idev's OneStepCheckout version,Idev's OneStepCheckout versie
DMP_PostNL2014::IWD's OnePageCheckout version,IWD's OnePageCheckout versie
DMP_PostNL2014::Support,Ondersteuning
DMP_PostNL2014::The extension is developed by Total Internet Group.,Deze extensie is ontwikkeld door Total Internet Group.
DMP_PostNL2014::Account questions and information,Account vragen en informatie
"DMP_PostNL2014::For questions related to your account, configuration problems, extension conflicts and bugs, please contact us.","Voor vragen gerelateerd aan uw account, configuratie problemen, extensie conflicten en bugs, neemt u contact op met ons."
DMP_PostNL2014::Phone,Telefoon
DMP_PostNL2014::Online knowledgebase,Online kennisbank
DMP_PostNL2014::Request help directly,Vraag direct hulp
