DMP_PostNL2014::Enabled,Geactiveerd
DMP_PostNL2014::Email,E-mail
DMP_PostNL2014::Documentation,Documentatie
DMP_PostNL2014::A list of documents regarding the extension.,Een lijst met document aangaande de extensie.
DMP_PostNL2014::View the installation and configuration manual.,Bekijk de installatie en configuratie handleiding.
DMP_PostNL2014::Installation and configuration manual,Installatie en configuratie handleiding
DMP_PostNL2014::View the user manual.,Bekijk de gebruikers handleiding
DMP_PostNL2014::User manual,Gebruikers handleiding
DMP_PostNL2014::View the complete changelog of the extension.,Bekijk de volledige release notes van de extensie
DMP_PostNL2014::Latest stable release,Laatste stabiele versie
DMP_PostNL2014::Full changelog,Volledige release notes
DMP_PostNL2014::PostNL PgAddress class missing.,PostNL PgAddress class mist
DMP_PostNL2014::Select a transactional e-mail template to send the retourlink,Selecteer een transactionele e-mail template om de retourlink te verzenden.
DMP_PostNL2014::Select a transactional e-mail template to send the barcode,Selecteer een transactionele e-mail template om de Track&amp;Trace code te versturen
DMP_PostNL2014::You can create a new transactional e-mail where the variables {{var retourlink}} is available.,"Maak een transactionele e-mail aan, daarin zal de variabele {{var retourlink}} beschikbaar zijn om te retourlink te verzenden."
DMP_PostNL2014::Unable to send track and trace email for shipment #,Versturen van track & trace e-mail mislukt voor zending #
DMP_PostNL2014::Track&amp;Trace e-mail is sent: %s,Track & Trace e-mail is verzonden: %s
DMP_PostNL2014::Credit Consignment,Crediteer zending
DMP_PostNL2014::Mail return label,Mail retourlabel
DMP_PostNL2014::Retour label mailed,Retour label is gemaild naar de klant
DMP_PostNL2014::This only works for Dutch addresses,Dit werkt alleen voor nederlandse adressen
DMP_PostNL2014::Name client,Naam klant
DMP_PostNL2014::Email client,Email klant
DMP_PostNL2014::Label description,Eigen kenmerk
DMP_PostNL2014::You did not specify a name,Je hebt geen naam opgeven
DMP_PostNL2014::You did not specify a email,Je hebt geen email opgeven
DMP_PostNL2014::Mail send to,Mail verzonden naar
"DMP_PostNL2014::Credit has not been created, check PostNL backend for details","Credit is niet aangemaakt, zie PostNL backend voor meer informatie."
DMP_PostNL2014::Consignment %s is credited at PostNL,Zending %s is gecrediteerd bij PostNL.
"DMP_PostNL2014::Select 'no' if you have problems with addresses on the labels","Selecteer 'nee' als u problemen heeft met adressen op de labels."
DMP_PostNL2014::Split street parts,Deel straatnaam velden op
DMP_PostNL2014::Streetname field,Straatnaam veld
DMP_PostNL2014::Housenr. field,Huisnummer veld
DMP_PostNL2014::Split house number parts,Deel huisnummervelden op
DMP_PostNL2014::Housenr. extension field,Huisnr. extensie veld
DMP_PostNL2014::Street line #%s,Adresregel #%s
DMP_PostNL2014::The weight in Magento is specified in gram instead of kg,Het gewicht in Magento is opgegeven in gram i.p.v. kg
DMP_PostNL2014::Select 'Yes' if the weight is not properly picked up by the PostNL plugin,Selecteer 'Ja' als het gewicht niet goed wordt opgepakt door de PostNL plugin
DMP_PostNL2014::This will be added to the regular shipping price,Dit zal bij de normale verzendkosten worden opgeteld
DMP_PostNL2014::Not possible if Pickup at PostNL location is not active,Dit zal niet mogelijk zijn zodra ophalen bij een PostNL locatie niet geactiveerd is
DMP_PostNL2014::Default shipment type for Cross Domestic shipments,Standaard verzend inhoud voor Cross Domestic verzendingen
"DMP_PostNL2014::When changing the address, you need to cancel the current PostNL shipment(s) linked to this order and create new PostNL shipments.","Wanneer het adres gewijzigd wordt, bent u genoodzaakt om de gekoppelde PostNL verzendingen te crediteren en nieuwe PostNL verzendingen aan te maken."
"DMP_PostNL2014::To read the instructions for the Magento extension, click <a target=""_blank"" href=""%s"">here</a>.","Klik <a target=""_blank"" href=""%s"">hier</a> om de handleiding van de Magento extensie te bekijken."
DMP_PostNL2014::When using the extension please note:,Aandachtspunten bij het gebruik van deze extensie:
DMP_PostNL2014::To be able to configure the extension you need to possess and use an active account.,U dient een actief account te hebben om de extensie te kunnen configureren.
"DMP_PostNL2014::During the transition phase the old Magento PostNL extension can remain active. However, you do need to turn off PakjeGemak in the old PostNL extension.",Indien u de oude PostNL extensie gebruikt kan deze actief blijven in de overgangsfase. Wel dient u PakjeGemak in de oude PostNL extensie uit te schakelen.
DMP_PostNL2014::We cannot guarantee perfect functionality of the extension when you intend to use the extension on a version of Magento that is not supported or when you intend to use the extension together with a 3rd part extension that is not supported. If you have any questions please contact us.<br><br>Supported extensions:,"Indien u de extensie wilt gebruiken op een niet-ondersteunde versie of editie van Magento, of als u de extensie wilt gebruiken samen met een 3rd party extensie die niet ondersteund wordt, kunnen wij niet garanderen dat de extensie feilloos zal functioneren. Voor vragen kunt u contact opnemen met ons.<br><br>Ondersteunde extensies:"
DMP_PostNL2014::Installation and configuration instructions,Installatie en configuratie handleiding
DMP_PostNL2014::Overview articles in knowledge base,Meest gestelde vragen
DMP_PostNL2014::Questions and information about your account,Account vragen en informatie
"DMP_PostNL2014::Shipments will not be delivered at the neighbours, only on house address.","Zendingen worden niet bij de buren aangeboden, alleen op huisadres."
DMP_PostNL2014::Shipments will not go the a pickup point but will be returned directly after multiple delivery attempts.,Zendingen gaan niet naar een afhaallocatie en komen direct retour na bezorgpogingen.
DMP_PostNL2014::Unable to save check_status cron expression: %s,Het is niet gelukt om de check_status cron expressie op te slaan: %s
DMP_PostNL2014::Some of the shipments could not be created or could not be created at PostNL from the selected orders. See below for detailed information.,Een aantal van de geselecteerde orders is een foutmelding opgetreden tijdens het aanmaken van de verzending. Zie hieronder voor gedetailleerde informatie.
DMP_PostNL2014::Select A4 print start position,Selecteer de A4 print start positie
"DMP_PostNL2014::Select content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>","Vul de goederen code voor zendingen buiten de EU in, zie <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a> voor de bestaande codes."
DMP_PostNL2014::Create PostNL Consignment,Cre&euml;er PostNL verzending
DMP_PostNL2014::Orders until today,Alle orders t/m vandaag verzenden
DMP_PostNL2014::Send today,Alleen vandaag verzenden
DMP_PostNL2014::Send until tomorrow,Alle orders t/m morgen verzenden
DMP_PostNL2014::Send later,Later verzenden
DMP_PostNL2014::Old orders,Alle orders t/m gisteren
DMP_PostNL2014::Track&amp;Trace link: %s,Track&amp;Trace link: %s
DMP_PostNL2014::Is letter box parcel,Is brievenbuspakje
DMP_PostNL2014::Shipment type,Zendingtype
DMP_PostNL2014::Accordance with type consignment,Conform type zending
DMP_PostNL2014::Normal,Pakket
DMP_PostNL2014::Letter box,Brievenbuspakje
DMP_PostNL2014::Unstamped,Ongefrankeerd
DMP_PostNL2014::The PostNL consignment is successfully created.,De PostNL zending is succesvol aangemaakt.
DMP_PostNL2014::Choose a pickup location,Selecteer PostNL Verzendopties
DMP_PostNL2014::Selected post office location:,Geselecteerde postkantoor locatie:
DMP_PostNL2014::Zipcode,Postcode
DMP_PostNL2014::Search by zipcode, address or city,Zoek op postcode, adres of plaats
DMP_PostNL2014::Search by zipcode and housenumber,Zoeken op postcode en huisnummer
"DMP_PostNL2014::Search by zipcode, address or city","Zoek op postcode, adres of plaats"
"DMP_PostNL2014::Search by zipcode and housenumber","Zoeken op postcode en huisnummer"
"DMP_PostNL2014::Unfortunately no locations could be found. Please check your postcode and house number combination.","Er zijn geen resultaten gevonden. Probeer een andere postcode/huisnummer combinatie en/of verwijder de huisnummertoevoeging."
DMP_PostNL2014::Housenumber,Huisnummer
DMP_PostNL2014::Search,Zoeken
DMP_PostNL2014::Nearest postnl pickup points,Dichtstbijzijnde afhaal locaties
DMP_PostNL2014::PostNL location Method name,PostNL locatie methode naam
DMP_PostNL2014::Unpaid,Ongefrankeerd
DMP_PostNL2014::The consignment is already credited.,Deze zending is al gecrediteerd.
DMP_PostNL2014::PostNL - Create labels,PostNL - Cre&euml;er labels
DMP_PostNL2014::Print packing slip,Print pakbon
DMP_PostNL2014::Send,Verzenden
DMP_PostNL2014::Today,Vandaag
DMP_PostNL2014::Letterbox,Brievenbuspakje
DMP_PostNL2014::Select,Selecteer
DMP_PostNL2014::Insured up to:,Verzekeren tot:
DMP_PostNL2014::Close,Sluiten
DMP_PostNL2014::International shipments can not be sent by,Internationale zendingen kunnen niet verzonden worden met een
DMP_PostNL2014::Choose a PostNL pickup location,Kies PostNL afhaallocatie
"DMP_PostNL2014::The selected shipment-type cannot be used, Pakjegemak-shipments can only be created with the normal shipment type.","Het geselecteerde zending-type kan niet gebruikt worden, 'PostNL locatie' zendingen kunnen enkel aangemaakt worden met het normale verzend-type."
DMP_PostNL2014::Create shipments (no labels),Cre&euml;er verzendingen (geen labels)
DMP_PostNL2014::Insured up to &euro;%s,Verzekerd tot &euro;%s
DMP_PostNL2014::Total order value: &euro; %s,Totaal order bedrag: &euro; %s
DMP_PostNL2014::Shipment insured up to &euro; %s purchase value,Verzekerd tot een inkoopbedrag van € %s,-
DMP_PostNL2014::Post Office Address,Gekozen afhaallocatie
"DMP_PostNL2014::The selected shipment type cannot be used. Pakjegemak shipments can only be created with the normal shipment type.<br/> The Magento shipment has been created without a PostNL shipment, select a different shipment type or go to the shipment page to create a single PostNL shipment. <a target=""_blank"" href=""%s"">View shipment</a>","De geselecteerde zending type kan niet gebruikt worden. 'PostNL locatie' zendingen kunnen enkel aangemaakt worden middels de normale verzendtype. <br/>De Magento zending is aangemaakt zonder een PostNL zending, selecteer een ander verzend type of ga naar de Magento zending pagina en maak daar een PostNL zending aan. <a target=""_blank"" href=""%s"">Bekijk zending</a>"
DMP_PostNL2014::Only for dutch shipments,Alleen voor Nederlandse verzendingen
"DMP_PostNL2014::Only for dutch shipments, shipments to outside of the EU are standard ensured up to &euro 200","Alleen voor Nederlandse verzendingen, zendingen naar landen buiten de EU zijn standaard verzekerd tot &euro; 200"
DMP_PostNL2014::Always use PostNL,Gebruik PostNL voor alle verzendmethodes
"DMP_PostNL2014::Select 'No' in order to set the shipping methods that must be regarded as PostNL.","Selecteer 'Nee' om de verzendmethodes in te stellen die als PostNL beschouwd moet worden."
DMP_PostNL2014::Use shipment address for PostNL location,Voeg PostNL locatie toe aan het afleveradres
DMP_PostNL2014::Use shipment address for 'Ophalen op een PostNL locatie'. The customer will see the address on the invoice. Set to 'No' if you are using AfterPay.,Gebruik het afleveradres voor 'Ophalen op een PostNL locatie'. De klant zal het adres op het factuur zien. Stel in op 'Nee' als je bijvoorbeeld AfterPay gebruikt.
DMP_PostNL2014::Show delivery date on invoice,"Toon bezorgdatum op factuur"
"DMP_PostNL2014::Show delivery date on invoice, packing slip, user account and Magento confirmation mail","Toon bezorgdatum op factuur, pakbon, gebruikersaccount en Magento orderbevestiging"
DMP_PostNL2014::Use filter in order overview,Gebruik filter in order overzicht
"DMP_PostNL2014::Select 'No' if you are using a plugin that is present in the order summary and therefore experience problems.","Selecteer 'nee' als je een plugin gebruikt die aanwezig is in het order overzicht en daardoor problemen ervaart."

DMP_PostNL2014::status_1,Concept
DMP_PostNL2014::status_2,Voorgemeld
DMP_PostNL2014::status_3,Aangeboden aan postNL
DMP_PostNL2014::status_4,In sorteerproces
DMP_PostNL2014::status_5,In distributie
DMP_PostNL2014::status_6,Zending bij douane
DMP_PostNL2014::status_7,Zending afgeleverd
DMP_PostNL2014::status_8,Zending op afhaallocatie
DMP_PostNL2014::status_9,Zending afgehaald op afhaallocatie
DMP_PostNL2014::status_10,Retourzending afgeleverd
DMP_PostNL2014::status_11,Retourzending op afhaallocatie
DMP_PostNL2014::status_12,Ongefrankeerd label geprint
DMP_PostNL2014::status_13,Gecrediteerd
DMP_PostNL2014::status_30,Inactief - Concept
DMP_PostNL2014::status_31,Inactief - Voorgemeld
DMP_PostNL2014::status_32,Inactief - Aangeboden bij PostNL
DMP_PostNL2014::status_33,Inactief - In sorteerprocess
DMP_PostNL2014::status_34,Inactief - In distributie
DMP_PostNL2014::status_35,Inactief - Zending bij douane
DMP_PostNL2014::status_36,Inactief - Zending afgeleverd
DMP_PostNL2014::status_37,Inactief - Zending op afhaallocatie
DMP_PostNL2014::status_38,Inactief - Zending afgehaald op afhaallocatie
DMP_PostNL2014::status_39,Inactief - Retourzending afgeleverd
DMP_PostNL2014::status_40,Inactief - Retourzending op afhaallocactie
DMP_PostNL2014::status_99,Inactief - Onbekende status

"All Allowed Countries","Alle toegestane landen"
"Specific Countries","Specifieke landen"
"The configuration has been saved.","De configuratie is opgeslagen."
"Weight vs. Destination","Gewicht vs. Bestemming"
"Price vs. Destination","Prijs vs. Bestemming"
"# of Items vs. Destination","# Items vs. Bestemming"
"Fixed","Vast"
"Percent","Percentage"
"DMP_PostNL2014::There are no log files to be downloaded.","Er zijn geen log files om te downloaden."
DMP_PostNL2014::PostNL location minimum order total enabled,PostNL locatie minimum totaal bedrag actief
"DMP_PostNL2014::PostNL location minimum order total, incl. BTW","PostNL locatie minimum totaal bedrag, incl. BTW"
DMP_PostNL2014::Mailbox title,Brievenbuspakje titel
DMP_PostNL2014::Leave blank to automate mailbox packets only in the backend,Laat leeg om brievenbuspakjes alleen in de backend te automatiseren
DMP_PostNL2014::Mailbox weight,Brievenbuspakje gewicht
DMP_PostNL2014::Mailbox with other options,Brievenbuspakje tonen met andere opties
"DMP_PostNL2014::Besides assigning weights to all products, you can also specify a volume of each product.","Om deze functie optimaal te gebruiken, stel je eerst het gewicht of volume in van jouw producten."
DMP_PostNL2014::Mailbox fee,Brievenbuspakje prijs
DMP_PostNL2014::Enter a basic price for a mailbox. The regular price will not affect this price.,Vul een totaalprijs in voor een brievenbuspakje.
DMP_PostNL2014::Automate mailbox package,Brievenbuspakje automatiseren
"DMP_PostNL2014::PostNL location will not be visible if the subtotal of an order is below this value","'Ophalen op een PostNL locatie' zal niet zichtbaar zijn als het bedrag van een bestelling onder deze waarde valt"

DMP_PostNL2014::PostNL location:,PostNL locatie:
DMP_PostNL2014::deliver:,bezorgen:
DMP_PostNL2014::TYPE_night,Avondlevering
DMP_PostNL2014::TYPE_morning,Ochtendlevering
DMP_PostNL2014::TYPE_standard,Middaglevering
DMP_PostNL2014::TYPE_retailexpress,Extra vroeg ophalen